Dataset,napariCell_ObjectNumber,fov_path,Cell age,replate_date,image_date,plate_name,well_position,Type,Cell line,experiment_number,image_name,xml,Channel,Channel description
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C1.tif.xml,True,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C2.tif,False,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C2.tif.xml,True,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C3.tif,False,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C3.tif.xml,True,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C4.tif,False,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C4.tif.xml,True,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C5.tif,False,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C5.tif.xml,True,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C0.tif,False,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C0.tif.xml,True,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C1.tif,False,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C1.tif.xml,True,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C2.tif,False,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C2.tif.xml,True,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C3.tif,False,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C3.tif.xml,True,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C4.tif,False,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C4.tif.xml,True,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C5.tif,False,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11_C5.tif.xml,True,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C0.tif,False,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C0.tif.xml,True,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C1.tif,False,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C1.tif.xml,True,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C2.tif,False,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C2.tif.xml,True,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C3.tif,False,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C3.tif.xml,True,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C4.tif,False,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C4.tif.xml,True,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C5.tif,False,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12_C5.tif.xml,True,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C0.tif,False,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C0.tif.xml,True,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C1.tif,False,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C1.tif.xml,True,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C2.tif,False,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C2.tif.xml,True,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C3.tif,False,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C3.tif.xml,True,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C4.tif,False,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C4.tif.xml,True,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C5.tif,False,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13_C5.tif.xml,True,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C0.tif,False,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C0.tif.xml,True,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C1.tif,False,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C1.tif.xml,True,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C2.tif,False,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C2.tif.xml,True,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C3.tif,False,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C3.tif.xml,True,561,HPRT1-B1
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C4.tif,False,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C4.tif.xml,True,bf2,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C5.tif,False,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14_C5.tif.xml,True,488,ACTN2-mEGFP
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C0.tif,False,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C0.tif.xml,True,638,COL2A1-B4
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C1.tif,False,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C1.tif.xml,True,nuc,dapi
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C2.tif,False,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C2.tif.xml,True,bf1,brightfield
OldFish,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,18,2019-05-17,2019-08-07,5500000013,B2,FISH,AICS-75,1,20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15_C3.tif,False,561,HPRT1-B1
