FOVId,cell_num,file_name,file_base,probe_561_loc_score,probe_638_loc_score
907,7,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
907,8,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
907,9,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
907,10,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
907,11,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
907,12,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
907,13,5500000013_63X_20190807_S1_P18_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P18_B2_annotations_corrected,,
908,1,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
908,2,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
908,3,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
908,4,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
908,5,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
908,6,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
908,7,5500000013_63X_20190807_S1_P19_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P19_B2_annotations_corrected,,
